Khapri Station,Khapri-Automotive,,Khapri Station ,Automotive-Khapri
Trip ID,Departure Time,,Trip ID,Arrival Time
1,05:35:00,,1,06:55:30
2,06:00:00,,2,07:17:32
3,06:20:00,,3,07:37:32
4,06:40:00,,4,07:52:32
5,07:00:00,,5,08:07:32
6,07:15:00,,10,08:57:32
7,07:30:00,,15,09:47:32
10,08:00:00,,20,10:37:32
20,09:40:00,,25,11:27:32
30,11:10:00,,30,12:17:32
31,11:20:00,,31,12:27:32
32,11:30:00,,32,12:37:32
33,11:40:00,,33,12:47:32
34,11:50:00,,34,12:57:32
35,12:00:00,,35,13:07:32
36,12:10:00,,40,14:07:32
40,13:00:00,,45,14:57:32
45,13:50:00,,50,15:47:32
50,14:40:00,,55,16:37:32
60,16:00:00,,60,17:17:32
61,16:20:00,,61,17:27:32
62,16:30:00,,62,17:37:32
63,16:40:00,,63,17:47:32
64,16:50:00,,64,17:57:32
65,17:00:00,,65,18:07:32
66,17:10:00,,75,19:57:32
70,18:00:00,,80,20:57:32
80,19:40:00,,85,21:57:32
85,21:00:00,,88,22:37:32
89,22:00:00,,89,22:57:32
,,,,
New Airport station,,,New Airport Station,
Trip ID,Arrival Time,,Trip ID,Arrival Time
1,06:06:07,,1,06:49:23
2,06:23:10,,2,06:54:22
3,06:43:10,,3,07:14:22
4,07:03:10,,4,07:34:22
5,07:18:10,,5,07:49:22
10,08:03:10,,10,08:31:44
15,08:53:10,,15,09:21:44
20,09:13:10,,20,10:04:22
25,10:33:10,,25,10:59:55
31,11:23:10,,30,11:54:22
32,11:33:10,,31,12:04:22
33,11:43:10,,32,12:14:22
34,11:53:10,,33,12:24:22
35,12:03:10,,34,12:34:22
40,13:03:10,,35,12:44:22
45,13:53:10,,40,13:34:22
50,14:43:10,,45,14:24:22
55,15:33:10,,50,15:14:22
61,16:23:10,,55,16:04:22
62,16:43:10,,60,16:54:22
63,16:33:10,,61,17:04:22
64,16:53:10,,62,17:14:22
65,17:03:10,,63,17:24:22
70,17:43:10,,64,17:34:22
80,19:43:10,,65,17:44:22
85,20:48:10,,75,19:14:22
89,22:03:10,,80,20:34:22
,,,85,21:34:22
,,,88,22:14:22
,,,89,22:34:22
,,,,
Airport South,,,Airport South,
Trip ID,Arrival Time,,Trip ID,Arrival Time
1,06:10:42,,1,06:44:48
2,06:25:26,,2,06:52:06
3,06:45:26,,3,07:12:06
4,07:05:26,,4,07:32:06
5,07:20:26,,5,07:47:06
10,08:05:26,,10,08:32:06
20,09:45:26,,20,10:02:06
30,11:15:26,,30,11:52:06
31,11:25:26,,31,12:02:06
32,11:35:26,,32,12:12:06
33,11:45:26,,33,12:22:06
34,11:55:26,,34,12:32:06
35,12:05:26,,35,12:42:06
40,13:05:26,,40,13:32:06
50,14:45:26,,50,15:22:06
60,16:25:26,,60,17:12:06
61,16:35:26,,61,17:22:06
62,16:45:26,,62,17:32:06
63,16:55:26,,63,17:42:06
64,17:05:26,,64,17:52:06
65,17:15:26,,65,18:02:06
70,18:05:26,,75,19:32:06
80,19:45:26,,85,21:17:06
89,22:05:26,,89,22:32:06
